k       nbComp          temps           temps_cumulé            PourcentageExploration
590     475000          0.004914                2.02378         0
589     475000          0.005332                2.02912         0
588     475000          0.005164                2.03428         0
587     475000          0.004897                2.03918         0
586     475000          0.004813                2.04399         0
585     475000          0.004883                2.04887         0
584     475000          0.004807                2.05368         0
583     475000          0.004803                2.05848         0
582     475000          0.004846                2.06333         0
581     475000          0.004931                2.06826         0
580     475000          0.00533         2.07359         0
579     475000          0.004844                2.07843         0
578     475000          0.004876                2.08331         0
577     475000          0.004922                2.08823         0
576     475000          0.004947                2.09318         0
575     475000          0.004936                2.09811         0
574     475000          0.004822                2.10294         0
573     475000          0.004899                2.10784         0
572     475000          0.004888                2.11272         0
571     475000          0.0053          2.11802         0
570     475000          0.0049          2.12292         0
569     475000          0.004876                2.1278          0
568     475000          0.004844                2.13264         0
567     475000          0.004815                2.13746         0
566     475000          0.004822                2.14228         0
565     475000          0.004843                2.14712         0
564     475000          0.004876                2.152           0
563     475000          0.004783                2.15678         0
562     475000          0.005289                2.16207         0
561     475000          0.005092                2.16716         0
560     475000          0.005018                2.17218         0
559     475000          0.004788                2.17697         0
558     475000          0.004795                2.18176         0
557     475000          0.004798                2.18656         0
556     475000          0.004794                2.19136         0
555     475000          0.004902                2.19626         0
554     475000          0.004814                2.20107         0
553     475000          0.005333                2.2064          0
552     475000          0.004824                2.21123         0
551     475000          0.004967                2.2162          0
550     475000          0.004813                2.22101         0
549     475000          0.004941                2.22595         0
548     475000          0.004794                2.23074         0
547     475000          0.004855                2.2356          0
546     475000          0.004794                2.24039         0
545     475000          0.004807                2.2452          0
544     475000          0.005324                2.25052         0
543     475000          0.004909                2.25543         0
542     475000          0.005014                2.26045         0
541     475000          0.004841                2.26529         0
540     475000          0.004823                2.27011         0
539     475000          0.004838                2.27495         0
538     475000          0.004812                2.27976         0
537     475000          0.004855                2.28462         0
536     475000          0.00483         2.28945         0
535     475000          0.005338                2.29478         0
534     475000          0.004902                2.29969         0
533     475000          0.004884                2.30457         0
532     475000          0.004838                2.30941         0
531     475000          0.004797                2.3142          0
530     475000          0.004889                2.31909         0
529     475000          0.004785                2.32388         0
528     475000          0.004825                2.3287          0
527     475000          0.004795                2.3335          0
526     475000          0.005252                2.33875         0
525     475000          0.004867                2.34362         0
524     475000          0.004832                2.34845         0
523     475000          0.004808                2.35326         0
522     475000          0.004922                2.35818         0
521     475000          0.00488         2.36306         0
520     475000          0.00482         2.36788         0
519     475000          0.004775                2.37265         0
518     475000          0.00483         2.37749         0
517     475000          0.005336                2.38282         0
516     475000          0.005012                2.38783         0
515     475000          0.004897                2.39273         0
514     475000          0.004807                2.39754         0
513     475000          0.004789                2.40233         0
512     475000          0.004902                2.40723         0
511     475000          0.004797                2.41202         0
510     475000          0.004859                2.41688         0
509     475000          0.00501         2.42189         0
508     475000          0.005517                2.42741         0
507     475000          0.004893                2.4323          0
506     475000          0.004789                2.43709         0
505     475000          0.004801                2.44189         0
504     475000          0.004849                2.44674         0
503     475000          0.004816                2.45156         0
502     475000          0.004799                2.45636         0
501     475000          0.005078                2.46144         0
500     475000          0.004833                2.46627         0
499     475000          0.005399                2.47167         0
498     475000          0.004862                2.47653         0
497     475000          0.004822                2.48135         0
496     475000          0.004842                2.48619         0
495     475000          0.005108                2.4913          0
494     475000          0.004925                2.49623         0
493     475000          0.004868                2.50109         0
492     475000          0.004798                2.50589         0
491     475000          0.004939                2.51083         0
490     475000          0.005284                2.51612         0
489     475000          0.004991                2.52111         0
488     475000          0.004854                2.52596         0
487     475000          0.00482         2.53078         0
486     475000          0.004789                2.53557         0
485     475000          0.004828                2.5404          0
484     475000          0.004798                2.5452          0
483     475000          0.004876                2.55007         0
482     475000          0.004996                2.55507         0
481     475000          0.005312                2.56038         0
480     475000          0.00483         2.56521         0
479     475000          0.004858                2.57007         0
478     475000          0.004954                2.57502         0
477     475000          0.004818                2.57984         0
476     475000          0.004791                2.58463         0
475     475000          0.004823                2.58945         0
474     475000          0.004862                2.59432         0
473     475000          0.004955                2.59927         0
472     475000          0.005331                2.6046          0
471     475000          0.004855                2.60946         0
470     475000          0.004881                2.61434         0
469     475000          0.004788                2.61913         0
468     475000          0.005107                2.62423         0
467     475000          0.004879                2.62911         0
466     475000          0.004838                2.63395         0
465     475000          0.005246                2.6392          0
464     475000          0.00509         2.64429         0
463     475000          0.00526         2.64955         0
462     475000          0.005103                2.65465         0
461     475000          0.004973                2.65962         0
460     475000          0.004818                2.66444         0
459     475000          0.00478         2.66922         0
458     475000          0.004818                2.67404         0
457     475000          0.004774                2.67881         0
456     475000          0.004965                2.68378         0
455     475000          0.004825                2.6886          0
454     475000          0.005289                2.69389         0
453     475000          0.004836                2.69873         0
452     475000          0.004861                2.70359         0
451     475000          0.004885                2.70847         0
450     475000          0.004773                2.71325         0
449     475000          0.004826                2.71807         0
448     475000          0.004885                2.72296         0
447     475000          0.004839                2.7278          0
446     475000          0.004815                2.73261         0
445     475000          0.005266                2.73788         0
444     475000          0.004899                2.74278         0
443     475000          0.004868                2.74764         0
442     475000          0.004797                2.75244         0
441     475000          0.004943                2.75738         0
440     475000          0.004829                2.76221         0
439     475000          0.00484         2.76705         0
438     475000          0.00479         2.77184         0
437     475000          0.004828                2.77667         0
436     475000          0.005296                2.78197         0
435     475000          0.004988                2.78695         0
434     475000          0.004858                2.79181         0
433     475000          0.004827                2.79664         0
432     475000          0.004771                2.80141         0
431     475000          0.004836                2.80625         0
430     475000          0.004943                2.81119         0
429     475000          0.004769                2.81596         0
428     475000          0.004876                2.82083         0
427     475000          0.00532         2.82615         0
426     475000          0.004863                2.83102         0
425     475000          0.004867                2.83588         0
424     475000          0.004815                2.8407          0
423     475000          0.004804                2.8455          0
422     475000          0.00497         2.85047         0
421     475000          0.004807                2.85528         0
420     475000          0.004871                2.86015         0
419     475000          0.004815                2.86497         0
418     475000          0.005426                2.87039         0
417     475000          0.004845                2.87524         0
416     475000          0.004855                2.88009         0
415     475000          0.004807                2.8849          0
414     475000          0.004895                2.88979         0
413     475000          0.004938                2.89473         0
412     475000          0.004852                2.89959         0
411     475000          0.004769                2.90435         0
410     475000          0.004788                2.90914         0
